indic_ed,unit,geo\time	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 
FP01_1,PC,PL	4.94 	5.17 d	5.09 d	5.08 d	4.91 d	5.25 d	5.47 d	5.41 d	5.35 d	5.41 d	5.42 d	4.87 d	4.79 d	5.02 d	4.77 d	4.67 d	5.10 d	: 	: 	: 	: 
FP01_1,PC,PT	5.27 d	5.62 d	5.79 d	4.89 d	5.10 d	5.07 d	5.21 d	5.10 d	5.38 d	5.33 d	5.39 d	5.42 d	5.43 d	5.36 d	5.36 d	5.32 d	5.37 d	: 	: 	: 	: 
FP01_1,PC,RO	3.07 	3.53 	4.24 	: u	4.25 	: u	3.48 	3.28 	3.45 	3.51 	3.25 	2.88 	3.37 	: 	: 	: 	: 	: 	: 	: 	: 
FP01_1,PC,SE	6.82 	6.98 	7.26 	6.76 	6.61 	6.75 	6.89 	7.09 	7.21 	7.36 	7.06 	7.16 	7.30 	7.69 	7.60 	7.36 	7.22 	7.1 	7.4 	7.8 	6.9 
FP01_1,PC,SI	5.68 	5.68 	5.69 	5.20 	5.15 	5.72 	5.73 	5.74 	5.80 	5.76 	5.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP01_1,PC,SK	4.06 d	4.22 d	4.09 d	3.61 d	3.62 d	3.80 d	3.85 d	4.19 d	4.30 d	4.31 d	3.99 d	3.92 d	4.18 d	4.53 d	4.83 d	4.53 d	5.01 d	3.9 d	4.7 d	6.0 d	: 
FP01_1,PC,TR	4.07 	: 	: 	: 	: 	2.86 	: 	3.12 	2.96 d	2.82 d	2.71 d	3.48 d	2.96 d	3.26 d	2.94 d	2.59 d	2.40 d	2.9 d	3.7 d	3.7 d	3.3 d
FP01_1,PC,UK	5.98 d	6.15 d	5.56 d	5.28 d	5.29 d	5.38 d	5.31 d	5.12 d	5.21 d	5.06 d	4.58 d	4.64 d	4.47 d	4.77 d	4.97 d	5.10 d	5.02 d	5.4 d	5.4 d	5.3 d	5.2 d
FP02_1,PC,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_1,PC,AT	0.99 	1.01 	1.04 	0.98 	0.96 	1.00 	1.03 	1.04 	1.09 	1.12 	1.13 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_1,PC,BE	1.53 d	1.55 d	1.50 d	1.53 d	1.41 d	1.41 d	1.40 d	1.41 d	1.45 d	1.36 d	1.35 d	: du	: du	: 	: 	: 	: 	: 	: 	: 	: 
FP02_1,PC,BG	0.71 	0.80 	0.85 	0.84 	0.77 	0.80 	0.86 	0.84 	0.78 	0.73 	0.72 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_1,PC,CH	1.53 	1.46 	1.50 	1.38 	1.34 	1.41 	1.50 	1.57 	1.58 	1.55 	1.49 	1.44 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_1,PC,CY	2.27 d	2.26 d	2.21 d	2.07 d	1.96 d	1.95 d	1.90 d	1.86 d	2.06 d	1.81 d	1.73 d	: du	: du	: 	: 	: 	: 	: 	: 	: 	: 
FP02_1,PC,CZ	0.73 	0.69 	0.69 	0.58 	0.56 	0.60 	0.59 	0.64 	0.68 	0.67 	0.66 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_1,PC,DE	0.66 	0.69 	0.69 	0.62 	0.63 	0.65 	0.66 	0.66 	0.67 	0.67 	0.68 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_1,PC,DK	1.89 d	2.09 d	2.13 d	1.85 d	1.86 	1.89 	1.93 	1.93 	1.96 	1.90 	1.88 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
