indic_ed,unit,geo\time	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 
FP02_3,PC,IT	0.83 	0.84 	0.86 	0.84 	0.75 	0.77 	0.76 	0.77 	0.78 	0.85 	0.79 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_3,PC,LI	: 	: 	: 	: 	0.17 	0.19 	0.20 	0.34 	0.32 	0.35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_3,PC,LT	1.47 	1.26 	1.14 	1.03 	1.01 	0.99 	1.02 	1.06 	0.99 	1.39 	1.33 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_3,PC,LV	1.01 	0.79 	0.78 	0.99 	0.94 	0.92 	0.89 	0.69 	0.77 	0.98 	1.14 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_3,PC,MK	: 	: 	: 	: 	: 	: 	: 	: 	0.50 d	0.55 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_3,PC,MT	1.11 	1.54 	1.16 d	1.01 d	0.93 	0.97 	1.03 b	0.51 	0.78 	0.87 	0.84 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_3,PC,NL	1.72 	1.68 	1.63 	1.53 	1.46 	1.52 	1.49 	1.47 	1.45 	1.36 	1.36 	1.39 	1.40 	1.42 	1.46 	1.55 	1.67 	: 	: 	: 	: 
FP02_3,PC,NO	2.12 	2.04 	2.20 	2.05 	2.13 	2.05 	2.26 	2.38 	2.29 	2.08 	1.84 	1.67 	1.93 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_3,PC,PL	1.13 	1.18 	1.07 	1.04 	0.93 	0.96 	1.19 	1.15 	1.02 	1.05 	1.04 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_3,PC,PT	1.04 d	1.13 d	1.07 d	0.95 d	1.16 d	0.97 d	0.95 d	0.80 d	0.97 d	0.92 d	0.99 d	: du	: du	: 	: 	: 	: 	: 	: 	: 	: 
FP02_3,PC,RO	0.85 	1.00 	1.20 	: u	1.12 	: u	0.81 d	0.70 d	0.68 d	0.70 	0.78 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_3,PC,SE	1.98 	2.03 	2.04 	1.82 	1.79 	1.81 	1.89 	2.02 	2.08 	2.09 	1.98 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_3,PC,SI	1.37 	1.37 	1.38 	1.21 	1.21 	1.23 	1.25 	1.30 	1.29 	1.27 	1.28 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_3,PC,SK	0.95 d	0.83 d	0.81 d	0.78 d	0.79 d	0.90 d	0.81 d	0.98 d	0.85 d	0.87 d	0.82 d	: du	: du	: 	: 	: 	: 	: 	: 	: 	: 
FP02_3,PC,TR	1.54 	: 	: 	: 	: 	0.91 	: 	0.87 d	0.96 d	0.95 d	0.87 d	0.80 d	0.83 d	: 	: 	: 	: 	: 	: 	: 	: 
FP02_3,PC,UK	1.32 d	1.01 d	0.80 d	0.83 d	0.92 d	1.08 d	1.18 d	0.99 d	1.03 d	1.04 d	0.79 d	: du	: du	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,AT	0.59 	0.61 	0.55 	0.46 	0.40 	0.40 	0.40 	0.40 	0.42 	0.63 	0.62 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,BE	0.78 d	0.78 d	0.75 d	0.75 d	0.71 d	0.71 d	0.69 d	0.69 d	0.71 d	0.70 d	0.70 d	: du	: du	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,BG	0.88 	0.92 	0.91 	0.85 	0.74 	0.74 	0.72 	0.76 	0.67 	0.67 	0.62 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,CH	0.28 	0.28 	0.29 	0.28 	0.34 	0.31 	0.32 	0.32 	0.33 	0.31 	0.30 	0.31 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,CY	0.41 d	0.40 d	0.41 d	0.35 d	0.33 d	0.34 d	0.34 d	0.34 d	0.36 d	0.35 d	0.32 d	: du	: du	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,CZ	0.66 	0.63 	0.60 	0.49 	0.50 	0.51 	0.49 	0.48 	0.52 	0.51 	0.51 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,DE	0.56 	0.55 	0.55 	0.50 	0.48 	0.47 	0.47 	0.47 	0.46 	0.49 	0.42 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,DK	1.61 d	1.27 	1.25 	0.90 	0.87 	0.87 	0.97 	1.04 	0.99 	0.94 	0.98 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,EE	0.44 	0.47 	0.51 	0.55 	0.39 d	0.35 	0.39 	0.35 	0.33 	0.42 	0.34 	: du	: du	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,EL	: 	: 	: 	: 	: 	: 	: 	0.11 d	0.11 d	0.17 d	0.24 d	: du	: du	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,ES	0.68 	0.70 	0.72 	0.64 	0.59 	0.55 	0.52 	0.48 	0.46 	0.42 	0.39 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,FI	0.40 	0.40 	0.40 	0.36 	0.34 	0.34 	0.35 	0.35 	0.34 	0.33 	0.33 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,FR	0.66 	0.68 	0.68 	0.64 	0.65 	0.64 	0.64 	0.67 	0.67 	0.65 	0.65 	0.66 	0.71 d	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,HR	0.66 	0.66 	0.67 d	0.60 d	0.55 d	0.57 d	0.49 d	0.49 	0.49 d	0.44 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,HU	0.89 	0.97 	0.91 	0.96 	0.91 	1.00 	0.97 	0.93 	0.98 	0.91 	0.86 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,IE	0.10 	0.10 	0.05 	0.00 	0.00 	0.00 	0.00 	0.00 	0.07 	0.07 	0.06 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,IS	1.12 d	1.14 	1.17 d	1.13 d	1.05 d	1.04 d	0.93 d	0.89 d	1.16 d	0.29 d	0.29 d	0.27 d	0.26 d	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,IT	0.44 	0.45 	0.48 	0.49 	0.47 	0.50 	0.46 	0.45 	0.44 	0.39 	0.47 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,LI	0.32 	0.33 	0.37 	0.31 	0.24 	0.25 	0.30 	0.34 	0.36 	1.12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,LT	0.71 	0.69 	0.74 	0.52 	0.56 	0.59 	0.59 	0.66 	0.73 	0.78 	0.82 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,LU	0.75 	0.76 	0.62 	0.51 	: 	: 	: 	: 	: 	: 	0.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,LV	0.82 	0.84 	0.97 	0.85 	0.73 	0.67 	0.64 	0.66 	0.72 	0.77 	0.87 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,MK	: 	: 	: 	: 	: 	: 	: 	: 	: d	: d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,MT	0.42 	0.50 	0.37 	0.37 	1.15 	1.02 	1.35 b	1.31 	1.47 	0.28 	0.29 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,NL	0.41 	0.41 	0.41 	0.39 	0.38 	0.41 	0.42 	0.42 	0.43 	0.40 	0.37 	0.35 	0.34 	0.35 	0.33 	0.36 	0.36 	: 	: 	: 	: 
FP02_4,PC,NO	0.55 	0.58 	0.61 d	0.51 d	0.54 d	0.50 d	0.65 d	0.56 d	0.52 d	1.05 d	0.60 d	1.26 d	1.15 d	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,PL	0.54 	0.52 d	0.52 d	0.57 d	0.50 d	0.53 d	0.54 d	0.55 d	0.48 d	0.43 d	0.46 d	: du	: du	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,PT	0.47 d	0.50 d	0.55 d	0.48 d	0.50 d	0.53 d	0.55 d	0.57 d	0.57 d	0.51 d	0.48 d	: du	: du	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,RO	0.67 	0.66 	0.73 	: u	0.77 	: u	0.65 	0.66 	0.83 	0.79 	0.45 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,SE	0.72 	0.71 	0.73 	0.67 	0.60 	0.59 	0.54 	0.50 	0.49 	0.50 	0.46 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,SI	0.65 	0.59 	0.57 	0.49 	0.46 	0.51 	0.48 	0.48 	0.54 	0.57 	0.57 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,SK	0.53 d	0.54 d	0.60 d	0.53 d	0.47 d	0.47 d	0.50 d	0.54 d	0.64 d	0.55 d	0.53 d	: du	: du	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,TR	0.17 	0.04 	: 	: 	: 	: 	: 	0.02 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_4,PC,UK	0.33 d	0.32 d	0.30 d	0.29 d	0.35 d	0.38 d	0.31 d	0.34 d	0.34 d	0.43 d	0.43 d	: du	: du	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,AT	5.18 	5.27 	5.36 	4.92 	4.82 	4.88 	5.04 	5.07 	5.24 	5.30 	5.41 	5.33 	5.56 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,BE	6.21 d	6.26 d	6.25 d	6.14 d	5.71 d	5.70 d	5.62 d	5.65 d	5.71 d	5.80 d	5.78 d	4.90 d	5.20 d	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,BG	3.17 	3.35 	3.88 	3.83 	3.32 	3.47 	3.60 	3.74 	3.77 	3.75 	3.50 	3.70 	3.88 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,CH	5.12 	5.08 	5.19 	4.75 	4.68 	5.11 	5.35 	5.39 	5.56 	5.41 	5.10 	4.93 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,CY	6.67 	6.73 	6.84 	6.50 	5.99 	6.11 	6.04 	5.92 	6.49 	5.87 	5.38 	4.90 	4.87 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,CZ	4.38 	4.11 	4.18 	3.76 	3.90 	4.25 	3.90 	4.01 	4.13 	3.94 	3.71 	3.61 	3.77 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,DE	4.42 	4.51 	4.51 	4.10 	4.00 	4.07 	4.21 	4.27 	4.39 	4.38 	4.21 	4.22 	4.25 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,DK	7.45 d	7.51 d	7.50 d	6.45 d	6.55 d	6.66 d	6.84 d	6.87 	6.70 	6.77 d	6.77 d	6.38 d	6.44 d	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,EE	4.94 	5.38 	5.77 	5.31 	4.48 	4.43 	4.60 	4.75 	4.98 	5.03 	4.84 	5.60 d	6.51 d	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,EL	: 	: 	: 	: 	: 	: 	4.07 	3.76 	3.48 	3.50 d	3.42 d	3.34 d	3.22 d	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,ES	4.64 	4.79 	4.84 	4.45 	4.21 	4.13 	4.10 	4.13 	4.16 	4.14 	4.12 	4.17 	4.27 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,FI	6.31 	6.36 	6.31 	5.69 	5.49 	5.74 	5.84 	5.94 	5.93 	5.71 	5.55 	5.40 	5.58 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,FR	5.46 	5.64 	5.68 	5.41 	5.41 	5.39 	5.45 	5.57 	5.69 	5.67 	5.70 	5.79 	5.58 d	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,HR	4.15 	4.28 	4.39 	4.29 d	3.99 	4.01 	3.98 	3.85 	3.89 d	3.71 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,HU	4.44 	4.62 	4.82 	4.82 	5.02 	5.13 	5.13 	5.06 	5.52 	4.90 	4.53 	4.44 	4.53 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,IE	5.64 	5.86 d	5.89 d	5.18 d	4.42 	4.24 	4.22 	4.17 	4.05 	3.98 	3.99 	3.97 	3.13 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,IS	6.92 d	7.01 	7.34 d	7.16 d	6.99 d	7.16 d	7.20 d	7.11 d	7.12 d	6.46 d	5.92 d	5.53 d	5.50 d	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,IT	4.02 	4.19 	4.41 	4.35 	4.03 	4.46 	4.21 	4.36 	4.50 	4.40 	4.67 	4.33 	4.29 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,LI	2.39 	2.53 	2.72 	1.95 	1.82 	1.95 	2.14 	2.14 	1.93 	2.70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,LT	4.95 	5.10 	5.38 	4.67 	4.43 	4.48 	4.47 	4.77 	4.77 	5.43 	5.48 	5.65 	6.14 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,LU	: 	: 	: 	: 	3.07 d	3.33 d	3.70 d	3.78 d	3.68 d	3.72 d	3.54 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,LV	4.66 	4.69 	5.30 	5.46 	4.85 	4.86 	4.81 	4.74 	5.14 	6.08 	6.55 	6.24 	5.24 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,MK	: 	: 	: 	: 	: 	: 	: 	: 	3.22 d	3.25 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,MT	6.92 	5.66 	5.31 	5.72 	6.18 	6.45 	6.58 b	4.64 	4.06 	3.80 	3.86 	3.92 	3.98 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,NL	5.08 	5.19 	5.17 	4.68 	4.64 	4.72 	4.85 	4.80 	4.82 	4.65 	4.48 	4.31 	4.28 	4.31 	4.15 	4.37 	4.52 	: 	: 	: 	: 
FP03_1,PC,NO	5.49 	5.81 	6.04 d	5.16 	5.36 d	5.31 d	5.63 d	6.05 d	6.39 d	6.62 d	6.30 d	5.93 d	6.43 d	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,PL	4.76 	4.98 d	5.02 d	5.01 d	4.79 d	5.14 d	5.38 d	5.36 d	5.30 d	5.28 d	5.36 d	4.86 d	4.75 d	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,PT	5.01 d	5.33 d	5.45 d	4.68 d	4.91 d	4.90 d	5.08 d	5.00 d	5.30 d	5.22 d	5.28 d	5.09 d	5.32 d	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,RO	2.95 	3.41 	4.11 	: u	4.17 	: u	3.32 	3.19 	3.38 	3.43 	3.11 	2.78 	2.82 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,SE	6.08 	6.22 	6.48 	6.07 	5.91 	6.00 	6.11 	6.25 	6.33 	6.39 	5.99 	6.06 	6.05 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,SI	5.16 	5.21 	5.24 	4.79 	4.74 	5.23 	5.22 	5.21 	5.24 	5.19 	5.13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,SK	3.73 	3.87 	3.74 	3.30 	3.34 d	3.59 d	3.66 d	3.97 d	4.17 d	3.96 d	3.85 d	3.89 d	4.14 d	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,TR	3.82 	: 	: 	: 	: 	2.67 	: 	2.94 	2.82 d	2.68 d	2.57 d	2.51 d	2.86 d	: 	: 	: 	: 	: 	: 	: 	: 
FP03_1,PC,UK	4.69 d	4.33 d	4.07 d	3.86 d	3.90 d	4.32 d	4.90 d	4.80 d	4.95 d	4.81 d	4.53 d	4.35 d	4.22 d	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,AT	0.61 	0.64 	0.62 	0.55 	0.52 	0.52 	0.40 d	0.41 d	0.29 d	0.37 d	0.33 d	0.38 d	0.30 d	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,BE	0.34 d	0.32 d	0.32 d	0.29 d	0.29 d	0.28 d	0.30 d	0.30 d	0.31 d	0.29 d	0.21 d	0.22 d	0.25 d	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,BG	0.65 	0.74 	0.70 d	0.60 	0.57 d	0.58 	0.65 d	0.66 d	0.32 d	0.18 d	0.20 d	0.18 	0.13 d	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,CH	0.15 	0.15 	0.17 	0.20 	0.20 	0.17 	0.17 	0.16 	0.16 	0.16 	0.16 	0.14 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,CY	1.20 d	1.19 d	1.14 d	0.95 d	0.96 d	0.91 d	0.92 d	0.85 d	0.88 d	0.73 d	0.59 d	0.52 d	0.49 d	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,CZ	0.13 	0.14 	0.18 	0.16 	0.15 	0.17 	0.18 	0.19 	0.20 	0.21 	0.22 d	0.21 d	0.20 d	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,DE	0.56 	0.57 	0.55 	0.47 	0.49 	0.35 	0.36 	0.36 	0.35 	0.35 	0.30 	0.27 	0.25 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,DK	1.29 	1.29 	1.24 	1.23 	1.26 	1.31 	1.46 	1.57 	1.63 	1.67 d	1.67 d	1.91 d	1.67 d	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,EE	0.22 	0.28 	0.26 	0.30 d	0.24 d	0.26 	0.28 d	0.17 d	0.31 d	0.43 d	0.40 d	0.43 d	0.23 d	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,EL	: 	: 	: 	: 	: 	: 	0.02 	0.08 d	0.07 d	0.07 d	0.07 d	0.05 d	0.03 d	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,ES	0.18 	0.19 	0.18 	0.17 	0.14 	0.13 	0.13 d	0.12 d	0.12 d	0.11 d	0.11 d	0.11 d	0.12 d	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,FI	0.45 	0.49 	0.50 	0.41 	0.41 	0.45 	0.46 	0.48 	0.50 	0.51 	0.51 d	0.49 d	0.50 d	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,FR	0.22 	0.22 	0.22 	0.21 	0.20 	0.21 	0.22 d	0.23 d	0.23 d	0.23 d	0.25 d	0.25 d	0.23 d	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,HR	0.05 	0.03 	0.03 d	0.03 d	0.03 d	0.03 d	0.03 d	0.02 	0.03 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,HU	0.28 	0.28 	0.30 	0.28 	0.27 	0.31 	0.33 	0.38 	0.40 	0.49 	0.53 	0.13 	0.14 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,IE	0.51 	0.54 	0.55 	0.49 	0.51 	0.50 	0.50 	0.49 	0.29 	0.28 d	0.25 d	0.27 d	0.21 d	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,IS	0.44 d	0.60 	0.47 	0.39 	0.37 d	0.38 d	0.39 d	0.36 d	0.59 d	0.32 d	0.31 d	0.28 d	0.28 d	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,IT	0.28 	0.31 	0.29 	0.21 	0.23 	0.21 	0.20 	0.20 	0.22 	0.20 	0.16 	0.19 	0.18 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,LI	0.14 	0.15 	0.18 	0.10 	0.10 	0.10 	0.15 	0.29 	0.53 	0.27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,LT	0.22 	0.26 	0.26 	0.21 	0.21 	0.33 	0.41 	0.40 	0.36 	0.38 	0.37 	0.25 	0.24 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,LU	: 	: 	: 	: 	0.07 d	0.08 d	0.08 d	0.09 d	0.09 d	0.08 d	0.20 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,LV	0.30 	0.27 	0.29 	0.24 	0.22 	0.27 	0.33 	0.38 	0.44 	0.52 	0.67 	0.69 	0.53 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,MK	: 	: 	: 	: 	: 	: 	: 	: 	0.08 d	0.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,MT	1.04 	1.09 	0.00 	: 	: 	0.00 	: 	0.03 d	0.42 d	0.42 d	0.41 d	0.41 d	0.45 d	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,NL	0.86 	0.79 	0.77 	0.82 	0.69 	0.78 	0.68 	0.70 	0.66 	0.57 	0.61 	0.67 	0.61 	0.64 	0.66 	0.68 	0.66 	: 	: 	: 	: 
FP03_2,PC,NO	1.17 	1.06 	1.20 	1.24 	1.29 d	1.18 d	1.35 d	1.38 d	1.16 d	0.96 	0.88 	0.82 	0.86 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,PL	0.18 	0.19 d	0.07 d	0.07 d	0.12 d	0.12 d	0.08 d	0.05 d	0.05 d	0.13 d	0.07 d	0.03 d	0.04 d	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,PT	0.26 d	0.29 d	0.34 d	0.21 d	0.19 d	0.17 d	0.14 d	0.10 d	0.08 d	0.11 d	0.11 d	0.12 d	0.11 d	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,RO	0.12 	0.12 	0.13 	: u	0.08 	: u	0.16 d	0.08 d	0.07 d	0.08 d	0.14 d	0.09 d	0.55 d	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,SE	0.74 	0.76 	0.79 	0.69 	0.70 	0.75 	0.77 	0.84 	0.89 	0.97 	1.06 	1.10 	1.25 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,SI	0.52 	0.47 	0.44 	0.41 	0.42 	0.49 	0.51 d	0.53 d	0.56 d	0.57 d	0.73 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,SK	0.33 d	0.35 d	0.35 d	0.31 d	0.28 d	0.21 d	0.19 d	0.22 d	0.13 d	0.35 	0.14 	0.03 	0.04 	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,TR	0.24 	: 	: 	: 	: 	0.20 	: 	0.18 	0.14 d	0.14 d	0.14 d	0.08 d	0.10 d	: 	: 	: 	: 	: 	: 	: 	: 
FP03_2,PC,UK	1.30 d	1.82 d	1.49 d	1.42 d	1.39 d	1.06 d	0.41 d	0.31 d	0.26 d	0.26 d	0.05 d	0.11 d	0.25 d	: 	: 	: 	: 	: 	: 	: 	: 
FP04_1,PC,AT	11.42 	11.20 	11.36 	11.09 	10.97 	11.00 	10.88 	10.18 	10.77 	11.20 	11.19 	11.01 	10.92 	10.80 	10.94 	10.64 	10.78 	: 	: 	: 	: 
FP04_1,PC,BE	12.23 d	12.49 d	12.22 d	12.91 d	12.45 d	12.34 d	11.42 d	12.11 d	11.80 d	12.23 d	12.20 d	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP04_1,PC,BG	10.74 	10.95 	11.05 	11.55 	9.91 	11.76 	11.40 	11.40 	10.45 	9.95 	9.13 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP04_1,PC,CH	15.68 	15.46 	15.69 	15.41 	15.22 	15.89 	15.67 	15.47 	15.74 	15.09 	15.09 	14.23 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP04_1,PC,CY	17.01 d	17.16 d	17.26 d	17.68 d	16.81 d	16.48 d	16.12 d	15.96 d	16.53 d	16.50 d	15.75 d	14.62 d	14.58 d	14.96 d	: 	: 	: 	: 	: 	: 	: 
FP04_1,PC,CZ	10.44 	9.71 	9.76 	9.52 	9.88 	10.53 	9.48 	9.70 	8.65 	9.10 	8.96 	9.19 	9.39 	8.98 	10.45 	10.93 	8.50 	: 	: 	: 	: 
FP04_1,PC,DE	11.03 	10.62 	10.48 	10.36 	10.33 	9.76 	9.74 	9.82 	9.78 	9.85 	9.47 	9.88 	9.38 	: 	9.35 	: 	9.70 d	: 	: 	: 	: 
FP04_1,PC,DK	15.15 d	15.25 d	15.05 d	14.91 d	15.38 d	15.45 d	15.72 d	15.45 	15.13 	15.46 d	15.57 d	15.37 d	14.65 d	14.55 d	13.79 d	13.57 d	12.98 d	: 	: 	: 	: 
FP04_1,PC,EE	13.73 	13.99 	13.48 	14.15 	13.88 	13.98 	14.53 	14.49 	15.19 	15.29 	15.06 	14.57 d	16.72 d	14.39 d	15.02 d	14.20 d	13.42 d	: 	: 	: 	: 
FP04_1,PC,EL	: 	: 	: 	: 	: 	: 	9.17 	8.42 d	7.95 d	7.93 d	7.72 d	7.28 d	7.34 d	7.01 d	6.86 d	6.24 d	5.62 d	: 	: 	: 	: 
FP04_1,PC,ES	10.54 	10.76 	10.86 	11.16 	11.10 	11.11 	11.00 	10.92 	11.13 	10.92 	10.96 	10.98 	11.00 	10.86 	10.86 	10.71 	10.36 	: 	: 	: 	: 
FP04_1,PC,FI	12.26 	12.27 	12.14 	12.40 	12.45 	12.57 	12.52 	12.78 	12.79 	12.70 	12.65 	12.19 	11.80 	11.90 	11.55 	11.71 	11.49 	: 	: 	: 	: 
FP04_1,PC,FR	10.16 	10.37 	10.41 	10.55 	10.67 	10.59 	10.59 	10.89 	11.09 	11.17 	11.51 	11.68 	11.05 d	11.40 d	11.32 d	11.18 d	11.27 d	: 	: 	: 	: 
FP04_1,PC,HR	8.74 	9.18 	9.56 	9.95 	9.14 	9.14 	9.06 	8.57 	8.79 	7.97 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP04_1,PC,HU	9.42 	9.80 	9.95 	10.36 	10.43 	10.42 	10.90 	11.09 	11.91 	10.46 	10.58 	9.51 	9.34 	: 	: 	: 	: 	: 	: 	: 	: 
FP04_1,PC,IE	13.07 	9.78 	13.36 	13.26 d	13.36 	13.77 	13.95 	13.89 	13.10 	12.74 	12.79 	13.62 	9.80 	13.94 	13.88 	13.49 	12.22 	: 	: 	: 	: 
